max_read,iteration,bandwidth_MBps,elapsed_seconds
1,1,209.09,19.59
1,2,215.35,19.02
1,3,205.42,19.94
1,4,197.59,20.73
1,5,209.51,19.55
1,6,233.39,17.55
1,7,209.30,19.57
1,8,197.59,20.73
1,9,204.39,20.04
1,10,207.18,19.77
256,1,215.69,18.99
256,2,235.81,17.37
256,3,211.79,19.34
256,4,236.90,17.29
256,5,207.29,19.76
256,6,249.60,16.41
256,7,245.56,16.68
256,8,169.96,24.10
256,9,199.90,20.49
256,10,180.60,22.68
1024,1,187.03,21.90
1024,2,221.41,18.50
1024,3,205.11,19.97
1024,4,172.68,23.72
1024,5,190.78,21.47
1024,6,181.32,22.59
1024,7,184.09,22.25
1024,8,193.66,21.15
1024,9,177.55,23.07
1024,10,196.83,20.81
4096,1,178.16,22.99
4096,2,185.42,22.09
4096,3,174.52,23.47
4096,4,184.09,22.25
4096,5,173.49,23.61
4096,6,201.97,20.28
4096,7,175.19,23.38
4096,8,177.01,23.14
4096,9,195.89,20.91
4096,10,168.77,24.27
65536,1,166.23,24.64
65536,2,172.97,23.68
65536,3,174.37,23.49
65536,4,194.22,21.09
65536,5,175.49,23.34
65536,6,199.61,20.52
65536,7,172.61,23.73
65536,8,169.89,24.11
65536,9,179.10,22.87
65536,10,189.81,21.58
131072,1,202.47,20.23
131072,2,187.80,21.81
131072,3,166.23,24.64
131072,4,207.50,19.74
131072,5,165.56,24.74
131072,6,170.45,24.03
131072,7,174.08,23.53
131072,8,170.95,23.96
131072,9,171.24,23.92
131072,10,198.83,20.60
262144,1,204.80,20.00
262144,2,190.16,21.54
262144,3,169.26,24.20
262144,4,175.57,23.33
262144,5,205.21,19.96
262144,6,211.46,19.37
262144,7,178.63,22.93
262144,8,219.15,18.69
262144,9,217.29,18.85
262144,10,178.47,22.95
524288,1,196.36,20.86
524288,2,176.10,23.26
524288,3,184.75,22.17
524288,4,200.78,20.40
524288,5,173.05,23.67
524288,6,174.97,23.41
524288,7,172.68,23.72
524288,8,173.71,23.58
524288,9,177.47,23.08
524288,10,171.74,23.85
1048576,1,185.68,22.06
1048576,2,192.48,21.28
1048576,3,210.37,19.47
1048576,4,174.30,23.50
1048576,5,168.14,24.36
1048576,6,183.18,22.36
1048576,7,174.67,23.45
1048576,8,172.46,23.75
1048576,9,225.67,18.15
1048576,10,183.27,22.35
2097152,1,174.74,23.44
2097152,2,184.67,22.18
2097152,3,181.40,22.58
2097152,4,200.98,20.38
2097152,5,170.74,23.99
2097152,6,201.28,20.35
2097152,7,172.46,23.75
2097152,8,177.39,23.09
2097152,9,174.37,23.49
2097152,10,196.73,20.82
1073741824,1,166.30,24.63
1073741824,2,175.49,23.34
1073741824,3,191.31,21.41
1073741824,4,196.73,20.82
1073741824,5,191.67,21.37
1073741824,6,200.69,20.41
1073741824,7,196.55,20.84
1073741824,8,176.32,23.23
1073741824,9,168.77,24.27
1073741824,10,174.30,23.50
